datetime,wtr0.25,wtr1,wtr2,wtr2.5,wtr3,wtr4,wtr5,wtr6,wtr6.5
2023-10-02T22:20:00Z,NA,NA,NA,5.76,NA,NA,NA,NA,5.74
2023-10-02T22:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.72
2023-10-02T22:40:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.691
2023-10-02T22:50:00Z,NA,NA,NA,5.78,NA,NA,NA,NA,5.701
2023-10-02T23:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.72
2023-10-02T23:10:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.701
2023-10-02T23:20:00Z,NA,NA,NA,5.789,NA,NA,NA,NA,5.691
2023-10-02T23:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.681
2023-10-02T23:40:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.701
2023-10-02T23:50:00Z,NA,NA,NA,5.72,NA,NA,NA,NA,5.701
2023-10-03T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.711
2023-10-03T00:10:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.75
2023-10-03T00:20:00Z,NA,NA,NA,5.701,NA,NA,NA,NA,5.73
2023-10-03T00:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.73
2023-10-03T00:40:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.75
2023-10-03T00:50:00Z,NA,NA,NA,5.72,NA,NA,NA,NA,5.72
2023-10-03T01:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.73
2023-10-03T01:10:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.72
2023-10-03T01:20:00Z,NA,NA,NA,5.671,NA,NA,NA,NA,5.72
2023-10-03T01:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.72
2023-10-03T01:40:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.711
2023-10-03T01:50:00Z,NA,NA,NA,5.632,NA,NA,NA,NA,5.701
2023-10-03T02:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.691
2023-10-03T02:10:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.651
